
Feb 05 00:03:21 huggy LOSTINNETWORK[12708] INFO Add CVE: CVE-2005-2681
Feb 05 00:03:21 huggy LOSTINNETWORK[12708] INFO Add CVE: CVE-2005-2695
Feb 05 00:03:21 huggy LOSTINNETWORK[12708] INFO Add CVE: CVE-2005-2841
Feb 05 00:03:21 huggy LOSTINNETWORK[12708] INFO Add CVE: CVE-2005-3426
Feb 05 00:03:21 huggy LOSTINNETWORK[12708] INFO Add CVE: CVE-2005-3427
Feb 05 00:03:21 huggy LOSTINNETWORK[12708] INFO Add CVE: CVE-2005-3481
Feb 05 00:03:21 huggy LOSTINNETWORK[12708] INFO Add CVE: CVE-2005-3482
Feb 05 00:03:21 huggy LOSTINNETWORK[12708] INFO Add CVE: CVE-2005-3669
Feb 05 00:03:21 huggy LOSTINNETWORK[12708] INFO Add CVE: CVE-2005-3774
Feb 05 00:03:21 huggy LOSTINNETWORK[12708] INFO Add CVE: CVE-2005-3788
Feb 05 00:03:21 huggy LOSTINNETWORK[12708] INFO Add CVE: CVE-2005-3803
Feb 05 00:03:21 huggy LOSTINNETWORK[12708] INFO Add CVE: CVE-2005-3804
Feb 05 00:03:21 huggy LOSTINNETWORK[12708] INFO Add CVE: CVE-2005-3886
Feb 05 00:03:21 huggy LOSTINNETWORK[12708] INFO Add CVE: CVE-2005-3921
Feb 05 00:03:21 huggy LOSTINNETWORK[12708] INFO Add CVE: CVE-2005-4258
Feb 05 00:03:21 huggy LOSTINNETWORK[12708] INFO Add CVE: CVE-2005-4332
Feb 05 00:03:21 huggy LOSTINNETWORK[12708] INFO Add CVE: CVE-2005-4436
Feb 05 00:03:21 huggy LOSTINNETWORK[12708] INFO Add CVE: CVE-2005-4437
Feb 05 00:03:21 huggy LOSTINNETWORK[12708] INFO Add CVE: CVE-2005-4499
Feb 05 00:03:21 huggy LOSTINNETWORK[12708] INFO Add CVE: CVE-2005-4794
Feb 05 00:03:21 huggy LOSTINNETWORK[12708] INFO Add CVE: CVE-2005-4825
Feb 05 00:03:21 huggy LOSTINNETWORK[12708] INFO Add CVE: CVE-2005-4826
Feb 05 00:03:21 huggy LOSTINNETWORK[12708] INFO Add CVE: CVE-2006-0179
Feb 05 00:03:21 huggy LOSTINNETWORK[12708] INFO Add CVE: CVE-2006-0181
Feb 05 00:03:21 huggy LOSTINNETWORK[12708] INFO Add CVE: CVE-2006-0340
Feb 05 00:03:21 huggy LOSTINNETWORK[12708] INFO Add CVE: CVE-2006-0354
Feb 05 00:03:21 huggy LOSTINNETWORK[12708] INFO Add CVE: CVE-2006-0367
